language_2_chars,language_3_chars,family,genus,script
tn,tsn,Niger-Congo,Bantu,Latn
ts,tso,Niger-Congo,Bantu,Latn
tk,tuk,Altaic,Turkic,Latn
tk,tuk,Altaic,Turkic,Cyrl
tr,tur,Altaic,Turkic,Latn
tr,tur,Altaic,Turkic,Grek
tr,tur,Altaic,Turkic,Arab
tw,twi,Niger-Congo,Tano,Latn
,tyv,Altaic,Turkic,Latn
,tyv,Altaic,Turkic,Cyrl
,tzm,Afro-Asiatic,Berber,Latn
,tzm,Afro-Asiatic,Berber,Tfng
,ude,Altaic,Tungusic,Latn
,ude,Altaic,Tungusic,Cyrl
ug,uig,Altaic,Turkic,Cyrl
ug,uig,Altaic,Turkic,Latn
ug,uig,Altaic,Turkic,Arab
uk,ukr,Indo-European,Slavic,Cyrl
,umb,Niger-Congo,Bantu,Latn
ur,urd,Indo-European,Indic,Kthi
ur,urd,Indo-European,Indic,Khoj
ur,urd,Indo-European,Indic,Arab
uz,uzb,Altaic,Turkic,Latn
uz,uzb,Altaic,Turkic,Cyrl
uz,uzb,Altaic,Turkic,Arab
,uzn,Altaic,Turkic,Arab
,uzn,Altaic,Turkic,Cyrl
,uzn,Altaic,Turkic,Latn
,vec,Indo-European,Romance,Latn
ve,ven,Niger-Congo,Bantu,Latn
vi,vie,Austro-Asiatic,Viet-Muong,Latn
,war,Austronesian,Greater Central Philippine,Latn
wo,wol,Niger-Congo,Wolof,Latn
wo,wol,Niger-Congo,Wolof,Arab
,xal,Altaic,Mongolic,Cyrl
xh,xho,Niger-Congo,Bantu,Latn
,ydd,Indo-European,Germanic,Hebr
yi,yid,Indo-European,Germanic,Hebr
yo,yor,Niger-Congo,Defoid,Latn
,yua,Mayan,Mayan,Latn
,yue,Sino-Tibetan,Chinese,Hans
,yue,Sino-Tibetan,Chinese,Hant
,zha,Tai-Kadai,Kam-Tai,Latn
zh,zho,Sino-Tibetan,Chinese,Phag
zh,zho,Sino-Tibetan,Chinese,Hans
zh,zho,Sino-Tibetan,Chinese,Hant
,zsm,Austronesian,Malayo-Sumbawan,Latn
zu,zul,Niger-Congo,Bantu,Latn
,zun,Zuni,Zuni,Latn
